類別,建築物名稱,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註
一般住宅,私人住宅大樓,WYA00893,永樂里,臺北市大同區西寧北路71號,"25.055154,121.509009",B01,183,大同分局,
一般住宅,私人住宅大樓,WYA00894,永樂里,臺北市大同區西寧北路72號,"25.054092,121.508623",B01,183,大同分局,
一般住宅,私人住宅大樓,WYA00895,永樂里,臺北市大同區西寧北路80號,"25.054494,121.508673",B01,424,大同分局,
一般住宅,私人住宅大樓,WYA00896,永樂里,臺北市大同區西寧北路78號,"25.05443,121.508688",B01,785,大同分局,
一般住宅,私人住宅大樓,WYA00899,永樂里,臺北市大同區迪化街一段32巷15號,"25.054561,121.509336",B01,218,大同分局,
一般住宅,私人住宅大樓,WYA00900,永樂里,臺北市大同區西寧北路82-6號,"25.054824,121.50875",B01,161,大同分局,
一般住宅,公寓,WYA00901,永樂里,臺北市大同區迪化街一段32巷13號,"25.054558,121.509409",B01,179,大同分局,
一般住宅,私人住宅大樓,WYA00902,永樂里,臺北市大同區迪化街一段32巷10-12號,"25.054514,121.509711",B01,43,大同分局,
一般住宅,私人住宅大樓,WYA00905,永樂里,臺北市大同區南京西路239巷35號,"25.053785,121.50909",B01,172,大同分局,
一般住宅,私人住宅大樓,WYA00906,永樂里,臺北市大同區南京西路239巷33號,"25.053781,121.509147",B01,233,大同分局,
一般住宅,私人住宅大樓,WYA00907,永樂里,臺北市大同區南京西路239巷27號,"25.053766,121.509322",B01,222,大同分局,
一般住宅,私人住宅大樓,WYA00908,永樂里,臺北市大同區西寧北路55號,"25.054413,121.508925",B01,280,大同分局,
一般住宅,私人住宅大樓,WYA00909,永樂里,臺北市大同區西寧北路61號,"25.054573,121.508944",B01,246,大同分局,
一般住宅,私人住宅大樓,WYA00910,永樂里,臺北市大同區西寧北路35號,"25.053577,121.50883",B01,515,大同分局,
一般住宅,私人住宅大樓,WYA01343,永樂里,臺北市大同區甘谷街16號,"25.052755,121.511208",B01,436,大同分局,
一般住宅,私人住宅大樓,WYA01349,永樂里,臺北市大同區西寧北路63號,"25.054645,121.508951",B01,261,大同分局,
一般住宅,私人住宅大樓,WYA01408,永樂里,臺北市大同區長安西路235-239號,"25.052137,121.511537",B02,653,大同分局,
一般住宅,私人住宅大樓,WYA01487,永樂里,臺北市大同區貴德街83號,"25.056446,121.508427",B01,351,大同分局,
一般住宅,常殷觀天廈,WYA01518,永樂里,臺北市大同區延平北路一段132號,"25.053436,121.51169",B01,702,大同分局,
一般住宅,大稻上埕公寓大廈,WYA01530,永樂里,臺北市大同區延平北路二段80號,"25.055944,121.511534",B01,995,大同分局,
一般住宅,私人住宅大樓,WYA01560,永樂里,臺北市大同區南京西路311號,"25.05364,121.508239",B01,138,大同分局,
一般住宅,公寓,WYA01605,永樂里,臺北市大同區迪化街一段85號,"25.056372,121.509953",B01,204,大同分局,
一般住宅,常殷峰澤社區,WYA01636,永樂里,臺北市大同區延平北路一段108號,"25.052865,121.511187",B01,1690,大同分局,
一般住宅,私人住宅大樓,WYA01672,永樂里,臺北市大同區南京西路227號,"25.053924, 121.510614",B01B02,1635,大同分局,
一般住宅,私人住宅大樓,WYA00911,玉泉里,臺北市大同區塔城街64-66號,"25.05291,121.510232",B01,588,大同分局,
一般住宅,私人住宅大樓,WYA00912,玉泉里,臺北市大同區南京西路410號,"25.05318,121.509711",B01,384,大同分局,
一般住宅,私人住宅大樓,WYA00913,玉泉里,臺北市大同區南京西路406號,"25.053203,121.509851",B01,1056,大同分局,
一般住宅,私人住宅大樓,WYA00914,玉泉里,臺北市大同區南京西路412巷5號,"25.052797,121.509456",B01,457,大同分局,
一般住宅,私人住宅大樓,WYA00916,玉泉里,臺北市大同區長安西路287號,"25.052106,121.509474",B01,602,大同分局,
一般住宅,私人住宅大樓,WYA00917,玉泉里,臺北市大同區長安西路287-2號,"25.052164,121.509696",B01,602,大同分局,
一般住宅,私人住宅大樓,WYA00918,玉泉里,臺北市大同區長安西路291號,"25.052104,121.508951",B01,283,大同分局,
一般住宅,私人住宅大樓,WYA00919,玉泉里,臺北市大同區南京西路436號,"25.05328,121.508813",B01,138,大同分局,
一般住宅,私人住宅大樓,WYA00920,玉泉里,臺北市大同區長安西路289號,"25.052098,121.509314",B01,1111,大同分局,
一般住宅,私人住宅大樓,WYA00934,玉泉里,臺北市大同區長安西路342-1號,"25.051939,121.510161",B01,279,大同分局,
一般住宅,私人住宅大樓,WYA00935,玉泉里,臺北市大同區塔城街36號,"25.051561,121.510354",B01,746,大同分局,
一般住宅,私人住宅大樓,WYA00938,玉泉里,臺北市大同區長安西路342號,"25.051939,121.51024",B01,446,大同分局,
一般住宅,私人住宅大樓,WYA00940,玉泉里,臺北市大同區延平北路一段46號,"25.051082,121.511841",B01,235,大同分局,
一般住宅,私人住宅大樓,WYA00941,玉泉里,臺北市大同區延平北路一段50-54號,"25.051214,121.511835",B01,347,大同分局,
一般住宅,私人住宅大樓,WYA00943,玉泉里,臺北市大同區延平北路一段60號,"25.051459,121.511821",B01,225,大同分局,
一般住宅,私人住宅大樓,WYA00944,玉泉里,臺北市大同區延平北路一段64號,"25.051518,121.511819",B01,287,大同分局,
一般住宅,公寓,WYA00948,玉泉里,臺北市大同區延平北路一段66巷5-1號,"25.051597,121.511534",B01,75,大同分局,
一般住宅,私人住宅大樓,WYA00958,玉泉里,臺北市大同區鄭州路119號,"25.050319,121.51097",B01,1326,大同分局,
一般住宅,私人住宅大樓,WYA00959,玉泉里,臺北市大同區延平北路一段22號,"25.050533,121.511888",B01,715,大同分局,
一般住宅,私人住宅大樓,WYA00961,玉泉里,臺北市大同區鄭州路137號,"25.050446,121.510137",B01,1036,大同分局,
