年別,類型,觀光遊憩區,細分,縣市,縣市別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,合計
2013,其他, -,十分瀑布,新北市,65000,23247.0,43355.0,36621.0,32884.0,35779.0,46781.0,44865.0,43161.0,35779.0,38189.0,41037.0,35128.0,456826
2013,其他, -,十分旅遊服務中心,新北市,65000,50045.0,584315.0,65000.0,109181.0,87300.0,88000.0,102000.0,77920.0,81000.0,99000.0,98400.0,68159.0,1510320
2013,其他, -,淡水漁人碼頭,新北市,65000,225868.0,270694.0,279935.0,235451.0,254444.0,273709.0,270914.0,271930.0,242708.0,251955.0,260467.0,229430.0,3067505
2013,其他, -,猴硐煤礦博物園區,新北市,65000,44699.0,66546.0,40155.0,57978.0,57032.0,58514.0,50451.0,44520.0,37256.0,48800.0,40540.0,42234.0,588725
2013,其他, -,關渡自然公園,臺北市,63000,7442.0,8718.0,11786.0,8612.0,10427.0,8845.0,9488.0,8976.0,9779.0,18363.0,15713.0,8584.0,126733
2013,其他, -,美麗華摩天輪,臺北市,63000,24969.0,36629.0,24827.0,22514.0,24380.0,30841.0,33512.0,36702.0,23947.0,25898.0,26647.0,31018.0,341884
2013,其他, -,台北101景觀台,臺北市,63000,184472.0,143191.0,184454.0,219488.0,182200.0,170253.0,165218.0,210005.0,190095.0,193091.0,207302.0,206936.0,2256705
2013,其他, -,雲仙樂園,新北市,65000,10610.0,28942.0,12813.0,9957.0,11511.0,13726.0,14552.0,15768.0,11017.0,11873.0,14587.0,12557.0,167913
2013,其他, -,大板根森林溫泉渡假村,新北市,65000,15167.0,12618.0,13491.0,15177.0,17774.0,18492.0,16878.0,19136.0,18985.0,21820.0,24146.0,21072.0,214756
2013,其他, -,龍山寺,臺北市,63000,238678.0,375201.0,240643.0,192092.0,200254.0,202456.0,214973.0,173591.0,207105.0,212081.0,204497.0,200624.0,2662195
2013,其他, -,臺北市孔廟,臺北市,63000,43646.0,74508.0,43205.0,38858.0,40862.0,34217.0,36926.0,33821.0,34725.0,32568.0,33459.0,32656.0,479451
2013,其他, -,淡水紅毛城,新北市,65000,59960.0,85209.0,82249.0,79686.0,79870.0,77064.0,72748.0,68948.0,67956.0,85502.0,88183.0,72624.0,919999
2013,其他, -,滬尾砲臺,新北市,65000,11445.0,18034.0,18147.0,14474.0,16915.0,14018.0,11713.0,13936.0,12801.0,14154.0,15603.0,13391.0,174631
2013,其他, -,前清淡水關稅務司官邸,新北市,65000,21620.0,35415.0,26292.0,21743.0,20275.0,19696.0,18580.0,17507.0,20306.0,25842.0,25115.0,21870.0,274261
2013,其他, -,鶯歌老街,新北市,65000,53697.0,69906.0,42357.0,68997.0,52737.0,56451.0,52206.0,53013.0,47388.0,48168.0,48012.0,52701.0,645633
